Sample_Id,Latitude,Longitude,Midpoint_Date_Local,Year,Month,Day,Chlorophyll_Index,Ceratium fusus,Ceratium furca,Ceratium lineatum,Ceratium tripos,Ceratium macroceros,Ceratium horridum,Ceratium longipes,Ceratium arcticum,Dinoflagellate cysts (Total),Ceratium kofoidii
445MC-1,43.267,-65.78,2/25/14 6:04,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-3,43.272,-66.233,2/25/14 8:19,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-5,43.31,-66.687,2/25/14 10:50,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-7,43.345,-67.143,2/25/14 13:21,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-9,43.38,-67.6,2/25/14 15:53,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-11,43.413,-68.055,2/25/14 18:23,2014,2,25,2,0,0,0,0,0,0,0,0,0,0
445MC-13,43.443,-68.513,2/25/14 20:55,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-15,43.472,-68.97,2/25/14 23:27,2014,2,25,1,0,0,0,0,0,0,0,0,0,0
445MC-17,43.5,-69.427,2/26/14 1:58,2014,2,26,1,0,0,0,0,0,0,0,0,0,0
446MC-1,43.317,-65.428,3/26/14 2:50,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-3,43.335,-65.867,3/26/14 4:38,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-5,43.373,-66.32,3/26/14 6:32,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-7,43.41,-66.777,3/26/14 8:26,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-9,43.445,-67.233,3/26/14 10:21,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-11,43.477,-67.69,3/26/14 12:15,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-13,43.508,-68.148,3/26/14 14:09,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-15,43.537,-68.607,3/26/14 16:03,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-17,43.565,-69.063,3/26/14 17:57,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
446MC-19,43.59,-69.523,3/26/14 19:51,2014,3,26,1,0,0,0,0,0,0,0,0,0,0
474MB-1,40.322,-73.683,4/25/14 19:12,2014,4,25,1,0,0,0,0,0,0,0,0,0,0
474MB-3,40.087,-73.373,4/25/14 20:40,2014,4,25,1,0,15000,0,0.001,0,0,0,0,0,0
474MB-5,39.852,-73.065,4/25/14 22:09,2014,4,25,1,0,0,0,0,0,0,0,0,0,0
474MB-7,39.608,-72.767,4/25/14 23:36,2014,4,25,2,0.001,170000,0,15000,0,0,0,0,0,0
474MB-9,39.355,-72.488,4/26/14 0:58,2014,4,26,1,15000,0.001,0,0.001,0,0,0.001,0,0,0
474MB-11,39.098,-72.212,4/26/14 2:19,2014,4,26,1,0,15000,0,0,0,0,0,0,0,0
474MB-13,38.853,-71.915,4/26/14 3:44,2014,4,26,1,0,0,0,0,0,0,0,0,0,0
474MB-15,38.632,-71.595,4/26/14 5:13,2014,4,26,1,0.001,15000,0,0,0.001,0,0,0,0,0
474MB-17,38.41,-71.277,4/26/14 6:42,2014,4,26,1,0,0,0,0,0,0,0,0,0,0
474MB-19,38.203,-70.95,4/26/14 8:00,2014,4,26,1,15000,225000,0,15000,15000,0,0,0,0,0
474MB-21,38,-70.615,4/26/14 9:11,2014,4,26,2,15000,170000,15000,15000,0.001,15000,0,0,0,0
474MB-23,37.797,-70.28,4/26/14 10:22,2014,4,26,2,0.001,130000,15000,0.001,15000,0,0,0,0,0
474MB-25,37.595,-69.958,4/26/14 11:31,2014,4,26,2,15000,170000,15000,0.001,0,0,0,0,0,0
474MB-27,37.38,-69.637,4/26/14 12:38,2014,4,26,2,15000,95000,15000,0,15000,0,0,0,0,0
474MB-29,37.165,-69.317,4/26/14 13:46,2014,4,26,1,15000,0,0.001,15000,0.001,0,0,0,0,0
448MC-1,43.29,-65.67,5/19/14 5:47,2014,5,19,2,0,0,0,0,0,0,0,0,0,0
448MC-3,43.26,-66.122,5/19/14 8:03,2014,5,19,2,0,0,0,0,0,0,0,0,0,0
448MC-5,43.288,-66.578,5/19/14 10:22,2014,5,19,2,0,0,0,0,0,0,0,0,0,0
448MC-7,43.315,-67.033,5/19/14 12:41,2014,5,19,2,0,0,0,0,0,0,0,0,0,0
448MC-9,43.342,-67.492,5/19/14 15:01,2014,5,19,1,0,0,0,0,0,0,0,0,0,0
448MC-11,43.365,-67.948,5/19/14 17:20,2014,5,19,1,0,0,0,0,0,0,0,0,0,0
448MC-13,43.387,-68.407,5/19/14 19:40,2014,5,19,1,0,0,0,0,0,0,0,0,0,0
448MC-15,43.407,-68.865,5/19/14 21:59,2014,5,19,1,0,0,0,0,0,0,0,0,0,0
448MC-17,43.425,-69.322,5/20/14 0:18,2014,5,20,1,0,0,0,0,0,0,0,0,0,0
475MB-1,40.31,-73.658,5/23/14 18:23,2014,5,23,1,15000,15000,0,0,0,0,0,0,0,0
475MB-3,40.058,-73.372,5/23/14 19:44,2014,5,23,1,0.001,0,0,0,0,0,0,0,0,0
475MB-5,39.807,-73.087,5/23/14 21:04,2014,5,23,1,0,0.001,0,0.001,0,0,0,0,0,0
475MB-7,39.555,-72.803,5/23/14 22:24,2014,5,23,1,0,15000,0,0,0,0,0,0,0,0
475MB-9,39.307,-72.527,5/23/14 23:43,2014,5,23,1,0.001,0.001,0,0,0,0.001,0,0,0,0
475MB-11,39.053,-72.245,5/24/14 1:04,2014,5,24,1,0,0,0,0,0,0,0,0,0,0
475MB-13,38.802,-71.965,5/24/14 2:24,2014,5,24,1,0,0,0,0,0.001,0,0,0,0,0
475MB-15,38.547,-71.683,5/24/14 3:44,2014,5,24,1,15000,0,0,0,15000,0,0,0,0,0
475MB-17,38.295,-71.403,5/24/14 5:03,2014,5,24,1,0,0,0,0.001,0,0,0,0,0,0
475MB-19,38.043,-71.127,5/24/14 6:21,2014,5,24,1,0,0.001,0,0,0.001,0,0,0,0,0
475MB-21,37.797,-70.84,5/24/14 7:37,2014,5,24,1,0,35000,0,0,15000,0,0,0,0,0
475MB-23,37.567,-70.533,5/24/14 8:49,2014,5,24,1,0,0,0,0,0.001,0,0,0,0,0
